Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Fluctuations [mN] 
Acrylic, 12.7, 26.22, Ascending, 1.725000e+01, 2.548011e+00, 2.582498e-01 
Acrylic, 12.7, 26.22, Ascending, 1.750000e+01, 2.506820e+00, 2.648070e-01 
Acrylic, 12.7, 26.22, Ascending, 1.775000e+01, 2.488613e+00, 2.501634e-01 
Acrylic, 12.7, 26.22, Ascending, 018, 2.420535e+00, 2.452750e-01 
Acrylic, 12.7, 26.22, Ascending, 1.825000e+01, 2.436253e+00, 2.754538e-01 
Acrylic, 12.7, 26.22, Ascending, 1.850000e+01, 2.364778e+00, 2.202640e-01 
Acrylic, 12.7, 26.22, Ascending, 1.875000e+01, 2.361650e+00, 2.481627e-01 
Acrylic, 12.7, 26.22, Ascending, 019, 2.347289e+00, 2.277750e-01 
Acrylic, 12.7, 26.22, Ascending, 1.925000e+01, 2.277455e+00, 2.064944e-01 
Acrylic, 12.7, 26.22, Ascending, 1.950000e+01, 2.308559e+00, 2.632822e-01 
Acrylic, 12.7, 26.22, Ascending, 1.975000e+01, 2.266611e+00, 2.147523e-01 
Acrylic, 12.7, 26.22, Ascending, 020, 2.244206e+00, 2.354492e-01 
Acrylic, 12.7, 26.22, Ascending, 2.025000e+01, 2.193598e+00, 2.466405e-01 
Acrylic, 12.7, 26.22, Ascending, 2.050000e+01, 2.234688e+00, 2.448176e-01 
Acrylic, 12.7, 26.22, Ascending, 2.075000e+01, 2.162031e+00, 2.770836e-01 
Acrylic, 12.7, 26.22, Ascending, 021, 2.168112e+00, 2.915989e-01 
Acrylic, 12.7, 26.22, Ascending, 2.125000e+01, 2.166782e+00, 2.587796e-01 
Acrylic, 12.7, 26.22, Ascending, 2.150000e+01, 2.144813e+00, 2.731037e-01 
Acrylic, 12.7, 26.22, Ascending, 2.175000e+01, 2.115708e+00, 2.449843e-01 
Acrylic, 12.7, 26.22, Ascending, 022, 2.102032e+00, 2.479002e-01 
Acrylic, 12.7, 26.22, Ascending, 2.225000e+01, 2.115107e+00, 2.576795e-01 
Acrylic, 12.7, 26.22, Ascending, 2.250000e+01, 2.140156e+00, 2.328491e-01 
Acrylic, 12.7, 26.22, Ascending, 2.275000e+01, 2.105964e+00, 2.136792e-01 
Acrylic, 12.7, 26.22, Ascending, 023, 2.078528e+00, 2.512227e-01 
Acrylic, 12.7, 26.22, Ascending, 2.325000e+01, 2.092386e+00, 2.165637e-01 
Acrylic, 12.7, 26.22, Ascending, 2.350000e+01, 2.068080e+00, 2.218900e-01 
Acrylic, 12.7, 26.22, Ascending, 2.375000e+01, 2.073371e+00, 2.571358e-01 
Acrylic, 12.7, 26.22, Ascending, 024, 2.120887e+00, 2.483096e-01 
Acrylic, 12.7, 26.22, Ascending, 2.425000e+01, 2.098490e+00, 2.654021e-01 
Acrylic, 12.7, 26.22, Ascending, 2.450000e+01, 2.085002e+00, 2.281818e-01 
Acrylic, 12.7, 26.22, Ascending, 2.475000e+01, 2.082603e+00, 2.323173e-01 
Acrylic, 12.7, 26.22, Ascending, 025, 2.047517e+00, 2.519602e-01 
Acrylic, 12.7, 26.22, Ascending, 2.525000e+01, 2.058685e+00, 2.351543e-01 
Acrylic, 12.7, 26.22, Ascending, 2.550000e+01, 2.015641e+00, 2.719042e-01 
Acrylic, 12.7, 26.22, Ascending, 2.575000e+01, 2.013731e+00, 2.523020e-01 
Acrylic, 12.7, 26.22, Ascending, 026, 2.024801e+00, 2.750610e-01 
Acrylic, 12.7, 26.22, Ascending, 2.625000e+01, 2.002768e+00, 2.341172e-01 
Acrylic, 12.7, 26.22, Ascending, 2.650000e+01, 1.978027e+00, 2.559764e-01 
Acrylic, 12.7, 26.22, Ascending, 2.675000e+01, 1.994662e+00, 2.678915e-01 
Acrylic, 12.7, 26.22, Ascending, 027, 2.002183e+00, 2.069907e-01 
Acrylic, 12.7, 26.22, Ascending, 2.725000e+01, 2.002839e+00, 2.353788e-01 
