U (nominal) [cm/s], z [cm], U [cm/s], SD [cm/s] 
2.080592e+01, -2.419067e+00, 2.067981e+01, 5.768333e-01
2.080592e+01, -2.499407e+00, 2.066964e+01, 5.711710e-01
2.080592e+01, -2.579747e+00, 2.067065e+01, 5.710959e-01
2.080592e+01, -2.660088e+00, 2.065777e+01, 5.641651e-01
2.080592e+01, -2.740428e+00, 2.064196e+01, 5.711467e-01
2.080592e+01, -2.820768e+00, 2.061798e+01, 5.757524e-01
2.080592e+01, -2.901109e+00, 2.061727e+01, 5.846450e-01
2.080592e+01, -2.981449e+00, 2.060258e+01, 5.802964e-01
2.080592e+01, -3.061789e+00, 2.059301e+01, 5.854202e-01
2.080592e+01, -3.142130e+00, 2.058322e+01, 5.739792e-01
2.080592e+01, -3.222470e+00, 2.056924e+01, 5.697059e-01
2.080592e+01, -3.302810e+00, 2.056260e+01, 5.780651e-01
2.080592e+01, -3.383151e+00, 2.053118e+01, 5.714672e-01
2.080592e+01, -3.463491e+00, 2.049886e+01, 5.780200e-01
2.080592e+01, -3.543831e+00, 2.047034e+01, 5.848789e-01
2.080592e+01, -3.624172e+00, 2.044079e+01, 5.839285e-01
2.080592e+01, -3.704512e+00, 2.040799e+01, 6.030251e-01
2.080592e+01, -3.784852e+00, 2.033966e+01, 6.691003e-01
2.080592e+01, -3.865193e+00, 2.022887e+01, 7.586652e-01
2.080592e+01, -3.945533e+00, 2.013046e+01, 8.689973e-01
2.080592e+01, -4.025873e+00, 2.002312e+01, 9.692036e-01
2.080592e+01, -4.106214e+00, 1.990482e+01, 1.041884e+00
2.080592e+01, -4.186554e+00, 1.975526e+01, 1.159526e+00
2.080592e+01, -4.266894e+00, 1.950610e+01, 1.389302e+00
2.080592e+01, -4.347235e+00, 1.912976e+01, 1.665760e+00
2.080592e+01, -4.427575e+00, 1.856449e+01, 1.967198e+00
2.080592e+01, -4.507915e+00, 1.776201e+01, 2.301536e+00
2.080592e+01, -4.588256e+00, 1.654615e+01, 2.508829e+00
2.080592e+01, -4.668596e+00, 1.487120e+01, 2.688062e+00
2.080592e+01, -4.748936e+00, 1.251963e+01, 2.804969e+00
2.080592e+01, -4.829277e+00, 9.470669e+00, 2.409882e+00
2.080592e+01, -4.909617e+00, 7.709930e+00, 2.061683e+00
1.849018e+01, -8.856454e-03, 1.856106e+01, 8.067833e-01
1.849018e+01, -8.919679e-02, 1.833305e+01, 8.058918e-01
1.849018e+01, -1.695371e-01, 1.846870e+01, 9.605293e-01
1.849018e+01, -2.498775e-01, 1.850434e+01, 9.644223e-01
1.849018e+01, -3.302178e-01, 1.853037e+01, 9.634491e-01
1.849018e+01, -4.105581e-01, 1.852485e+01, 9.136532e-01
1.849018e+01, -4.908985e-01, 1.849194e+01, 8.925657e-01
1.849018e+01, -5.712388e-01, 1.852003e+01, 8.553390e-01
1.849018e+01, -6.515792e-01, 1.849725e+01, 8.296404e-01
1.849018e+01, -7.319195e-01, 1.848748e+01, 7.885614e-01
1.849018e+01, -8.122598e-01, 1.847291e+01, 7.853887e-01
1.849018e+01, -8.926002e-01, 1.844968e+01, 7.699674e-01
1.849018e+01, -9.729405e-01, 1.846046e+01, 7.364722e-01
1.849018e+01, -1.053281e+00, 1.846073e+01, 7.271089e-01
1.849018e+01, -1.133621e+00, 1.846461e+01, 7.177613e-01
1.849018e+01, -1.213962e+00, 1.846333e+01, 6.915175e-01
1.849018e+01, -1.294302e+00, 1.843451e+01, 6.832803e-01
1.849018e+01, -1.374642e+00, 1.842587e+01, 6.913313e-01
1.849018e+01, -1.454983e+00, 1.840487e+01, 6.692894e-01
1.849018e+01, -1.535323e+00, 1.838330e+01, 6.429076e-01
1.849018e+01, -1.615663e+00, 1.838928e+01, 6.487283e-01
1.849018e+01, -1.696004e+00, 1.837555e+01, 6.335082e-01
1.849018e+01, -1.776344e+00, 1.839072e+01, 6.266566e-01
1.849018e+01, -1.856684e+00, 1.839589e+01, 6.343947e-01
1.849018e+01, -1.937025e+00, 1.837661e+01, 6.251008e-01
1.849018e+01, -2.017365e+00, 1.838496e+01, 6.185175e-01
1.849018e+01, -2.097705e+00, 1.837541e+01, 6.241121e-01
1.849018e+01, -2.178046e+00, 1.837794e+01, 6.049923e-01
1.849018e+01, -2.258386e+00, 1.835484e+01, 5.966546e-01
1.849018e+01, -2.338726e+00, 1.834292e+01, 5.979580e-01
1.849018e+01, -2.419067e+00, 1.833238e+01, 5.973695e-01
1.849018e+01, -2.499407e+00, 1.830930e+01, 5.907207e-01
1.849018e+01, -2.579747e+00, 1.831046e+01, 5.818870e-01
1.849018e+01, -2.660088e+00, 1.829694e+01, 5.885890e-01
1.849018e+01, -2.740428e+00, 1.827953e+01, 5.800668e-01
1.849018e+01, -2.820768e+00, 1.828022e+01, 5.825128e-01
1.849018e+01, -2.901109e+00, 1.828074e+01, 5.852042e-01
1.849018e+01, -2.981449e+00, 1.828024e+01, 5.703372e-01
1.849018e+01, -3.061789e+00, 1.826140e+01, 5.838196e-01
1.849018e+01, -3.142130e+00, 1.824340e+01, 5.729560e-01
1.849018e+01, -3.222470e+00, 1.823860e+01, 5.591555e-01
1.849018e+01, -3.302810e+00, 1.821325e+01, 5.600990e-01
1.849018e+01, -3.383151e+00, 1.819222e+01, 5.598858e-01
1.849018e+01, -3.463491e+00, 1.815805e+01, 5.616430e-01
1.849018e+01, -3.543831e+00, 1.812768e+01, 5.838032e-01
1.849018e+01, -3.624172e+00, 1.809471e+01, 6.310548e-01
1.849018e+01, -3.704512e+00, 1.806362e+01, 6.711362e-01
1.849018e+01, -3.784852e+00, 1.804636e+01, 6.888822e-01
1.849018e+01, -3.865193e+00, 1.801615e+01, 6.915478e-01
1.849018e+01, -3.945533e+00, 1.798151e+01, 7.148826e-01
