Mode, Direction, D [mm], U [cm/s], h/d, Cd, Delta h [mm]
Experiment, Descending, 12.7, 26.22, 2.145669e+00, 4.335544e-01, --
Experiment, Descending, 12.7, 26.22, 2.165354e+00, 4.326486e-01, --
Experiment, Ascending, 12.7, 26.22, 000, 8.498167e-02, --
Experiment, Ascending, 12.7, 26.22, 1.968504e-02, 8.265226e-02, --
Experiment, Ascending, 12.7, 26.22, 3.937008e-02, 8.481385e-02, --
Experiment, Ascending, 12.7, 26.22, 5.905512e-02, 8.826869e-02, --
Experiment, Ascending, 12.7, 26.22, 7.874016e-02, 8.616301e-02, --
Experiment, Ascending, 12.7, 26.22, 9.842520e-02, 9.094488e-02, --
Experiment, Ascending, 12.7, 26.22, 1.181102e-01, 9.022281e-02, --
Experiment, Ascending, 12.7, 26.22, 1.377953e-01, 9.507403e-02, --
Experiment, Ascending, 12.7, 26.22, 1.574803e-01, 9.679474e-02, --
Experiment, Ascending, 12.7, 26.22, 1.771654e-01, 9.794695e-02, --
Experiment, Ascending, 12.7, 26.22, 1.968504e-01, 1.101932e-01, --
Experiment, Ascending, 12.7, 26.22, 2.165354e-01, 1.122772e-01, --
Experiment, Ascending, 12.7, 26.22, 2.362205e-01, 1.194168e-01, --
Experiment, Ascending, 12.7, 26.22, 2.559055e-01, 1.253808e-01, --
Experiment, Ascending, 12.7, 26.22, 2.755906e-01, 1.378893e-01, --
Experiment, Ascending, 12.7, 26.22, 2.952756e-01, 1.383249e-01, --
Experiment, Ascending, 12.7, 26.22, 3.149606e-01, 1.443526e-01, --
Experiment, Ascending, 12.7, 26.22, 3.346457e-01, 1.507783e-01, --
Experiment, Ascending, 12.7, 26.22, 3.543307e-01, 1.652115e-01, --
Experiment, Ascending, 12.7, 26.22, 3.740157e-01, 1.648647e-01, --
Experiment, Ascending, 12.7, 26.22, 3.937008e-01, 1.755647e-01, --
Experiment, Ascending, 12.7, 26.22, 4.133858e-01, 1.862316e-01, --
Experiment, Ascending, 12.7, 26.22, 4.330709e-01, 2.107675e-01, --
Experiment, Ascending, 12.7, 26.22, 4.527559e-01, 2.304081e-01, --
Experiment, Ascending, 12.7, 26.22, 4.724409e-01, 2.501004e-01, --
Experiment, Ascending, 12.7, 26.22, 4.921260e-01, 2.697380e-01, --
Experiment, Ascending, 12.7, 26.22, 5.118110e-01, 2.918917e-01, --
Experiment, Ascending, 12.7, 26.22, 5.314961e-01, 3.134918e-01, --
Experiment, Ascending, 12.7, 26.22, 5.511811e-01, 3.369284e-01, --
Experiment, Ascending, 12.7, 26.22, 5.708661e-01, 3.615937e-01, --
Experiment, Ascending, 12.7, 26.22, 5.905512e-01, 3.847832e-01, --
Experiment, Ascending, 12.7, 26.22, 6.102362e-01, 4.095048e-01, --
Experiment, Ascending, 12.7, 26.22, 6.299213e-01, 4.371866e-01, --
Experiment, Ascending, 12.7, 26.22, 6.496063e-01, 4.649288e-01, --
Experiment, Ascending, 12.7, 26.22, 6.692913e-01, 4.909876e-01, --
Experiment, Ascending, 12.7, 26.22, 6.889764e-01, 5.210645e-01, --
Experiment, Ascending, 12.7, 26.22, 7.086614e-01, 5.605529e-01, --
Experiment, Ascending, 12.7, 26.22, 7.283465e-01, 5.841065e-01, --
Experiment, Ascending, 12.7, 26.22, 7.480315e-01, 6.332100e-01, --
Experiment, Ascending, 12.7, 26.22, 7.677165e-01, 6.633624e-01, --
Experiment, Ascending, 12.7, 26.22, 7.874016e-01, 6.998105e-01, --
Experiment, Ascending, 12.7, 26.22, 8.070866e-01, 7.260184e-01, --
Experiment, Ascending, 12.7, 26.22, 8.267717e-01, 7.665034e-01, --
Experiment, Ascending, 12.7, 26.22, 8.464567e-01, 8.137898e-01, --
Experiment, Ascending, 12.7, 26.22, 8.661417e-01, 8.297898e-01, --
Experiment, Ascending, 12.7, 26.22, 8.858268e-01, 8.508696e-01, --
Experiment, Ascending, 12.7, 26.22, 9.055118e-01, 8.554567e-01, --
Experiment, Ascending, 12.7, 26.22, 9.251969e-01, 8.670422e-01, --
Experiment, Ascending, 12.7, 26.22, 9.448819e-01, 8.550806e-01, --
Experiment, Ascending, 12.7, 26.22, 9.645669e-01, 8.501220e-01, --
Experiment, Ascending, 12.7, 26.22, 9.842520e-01, 8.512801e-01, --
Experiment, Ascending, 12.7, 26.22, 1.003937e+00, 8.462002e-01, --
Experiment, Ascending, 12.7, 26.22, 1.023622e+00, 8.418177e-01, --
Experiment, Ascending, 12.7, 26.22, 1.043307e+00, 8.389317e-01, --
Experiment, Ascending, 12.7, 26.22, 1.062992e+00, 8.165003e-01, --
Experiment, Ascending, 12.7, 26.22, 1.082677e+00, 7.945757e-01, --
Experiment, Ascending, 12.7, 26.22, 1.102362e+00, 7.735561e-01, --
Experiment, Ascending, 12.7, 26.22, 1.122047e+00, 7.593683e-01, --
Experiment, Ascending, 12.7, 26.22, 1.141732e+00, 7.446530e-01, --
Experiment, Ascending, 12.7, 26.22, 1.161417e+00, 7.428981e-01, --
Experiment, Ascending, 12.7, 26.22, 1.181102e+00, 7.184332e-01, --
Experiment, Ascending, 12.7, 26.22, 1.200787e+00, 7.151077e-01, --
Experiment, Ascending, 12.7, 26.22, 1.220472e+00, 6.862023e-01, --
Experiment, Ascending, 12.7, 26.22, 1.240157e+00, 6.586639e-01, --
Experiment, Ascending, 12.7, 26.22, 1.259843e+00, 6.328785e-01, --
Experiment, Ascending, 12.7, 26.22, 1.279528e+00, 6.221700e-01, --
Experiment, Ascending, 12.7, 26.22, 1.299213e+00, 6.036069e-01, --
Experiment, Ascending, 12.7, 26.22, 1.318898e+00, 5.956344e-01, --
Experiment, Ascending, 12.7, 26.22, 1.338583e+00, 5.835965e-01, --
Experiment, Ascending, 12.7, 26.22, 1.358268e+00, 5.701981e-01, --
Experiment, Ascending, 12.7, 26.22, 1.377953e+00, 5.610037e-01, --
Experiment, Ascending, 12.7, 26.22, 1.397638e+00, 5.554971e-01, --
Experiment, Ascending, 12.7, 26.22, 1.417323e+00, 5.460220e-01, --
Experiment, Ascending, 12.7, 26.22, 1.437008e+00, 5.432993e-01, --
Experiment, Ascending, 12.7, 26.22, 1.456693e+00, 5.333971e-01, --
Experiment, Ascending, 12.7, 26.22, 1.476378e+00, 5.299011e-01, --
Experiment, Ascending, 12.7, 26.22, 1.496063e+00, 5.252698e-01, --
Experiment, Ascending, 12.7, 26.22, 1.515748e+00, 5.168641e-01, --
Experiment, Ascending, 12.7, 26.22, 1.535433e+00, 5.114178e-01, --
Experiment, Ascending, 12.7, 26.22, 1.555118e+00, 5.072482e-01, --
Experiment, Ascending, 12.7, 26.22, 1.574803e+00, 5.017166e-01, --
Experiment, Ascending, 12.7, 26.22, 1.594488e+00, 4.929861e-01, --
Experiment, Ascending, 12.7, 26.22, 1.614173e+00, 4.979351e-01, --
Experiment, Ascending, 12.7, 26.22, 1.633858e+00, 4.911191e-01, --
Experiment, Ascending, 12.7, 26.22, 1.653543e+00, 4.842424e-01, --
Experiment, Ascending, 12.7, 26.22, 1.673228e+00, 4.913196e-01, --
Experiment, Ascending, 12.7, 26.22, 1.692913e+00, 4.822631e-01, --
